label,co2(ppm),methane(ppb),nitrous_oxide(ppvb),primary_energy_consumption (trillion BTUs),population
1,496.9,237,82,41.415,2876536
1,574.8,242,97,43.885,2884239
1,553.5,250,104,43.054,2897593
1,560.4,254,99,43.884,2912403
1,546.9,256,109,40.663,2925559
1,520.3,257,162,40.95,2936147
1,553.7,251,122,43.641,2944789
1,582.6,243,117,42.928,2951741
0,27936.5,15828,7973,1030.075,16960600
0,28187.2,15799,7881,1022.201,17189235
0,28633.2,15741,7798,1039.052,17402179
0,29132.5,15407,7779,1060.861,17603211
0,30008.4,15290,7765,1102.279,17798526
0,30802.3,15143,7751,1151.151,17993083
0,31633.2,14629,7189,1184.877,18189274
0,32711,15049,7187,1214.009,18387205
0,33869.7,15102,7574,1243.042,18587027
0,34659.9,16390,9334,1293.871,18788187
0,35182,16983,9980,1302.451,18991434
0,36045.5,17675,11029,1312.784,19194676
0,36711.3,16922,10438,1338.907,19401366
0,37323.3,13072,6606,1357.719,19624163
0,38676.6,14837,8627,1400.628,19879654
0,38760.2,12913,6343,1404.486,20178543
0,39729.5,15066,8556,1465.437,20526300
0,40192.6,14583,7873,1496.329,20916339
0,40965.3,12875,6233,1517.156,21332293
0,40132.1,13307,6750,1490.583,21750852
0,40453.3,11958,5494,1480.259,22154687
0,40534.4,16932,10834,1523.502,22538002
0,40266.6,16751,10794,1504.63,22903951
0,39317.1,12850,6499,1523.72,23254912
0,39925.4,13622,7692,1539.015,23596426
0,40327.9,13407,7265,1575.636,23932499
0,41594.5,11911,5830,1582.272,24262710
0,41475.1,14033,8002,1574.244,24584619
0,41600.1,13989,7765,1582.532,24898153
0,6214,1157,490,329.047,7723954
0,6573.8,1151,491,345.371,7772698
0,6023.6,1132,470,339.175,7830938
0,6066.1,1099,465,344.982,7892089
0,6103.4,1061,460,343.068,7947215
0,6401.1,1012,459,359.618,7990113
0,6735.5,989,469,360.713,8017852
0,6725.2,959,464,368.085,8032873
0,6688.7,931,463,373.851,8041054
0,6564,917,463,381.969,8051116
0,6613.9,894,459,383.281,8069276
0,7013.9,880,446,397.414,8097755
0,7194.3,869,435,398.17,8134403
0,7745.1,853,434,403.549,8175855
0,7766.8,844,379,410.287,8216809
0,7906.8,823,381,417.261,8253656
0,7679.6,806,377,412.542,8285344
0,7409.7,788,366,402.872,8313731
0,7347.2,779,379,410.946,8341525
0,6729.1,760,353,397.028,8372657
0,7200,758,352,410.531,8409945
0,6988.9,741,355,384.392,8453501
0,6726.3,725,359,403.154,8502230
0,6775.9,711,362,400.515,8556191
0,6416.1,695,368,383.817,8615205
0,6635.2,688,368,384.53,8678667
0,6721.5,680,370,397.179,8747306
0,6959.9,674,363,406.815,8819902
0,6656.5,667,362,397.137,8891383
0,1240.6,317,4,75.094,495927
0,1185.7,324,4,84.05,509762
0,1087.4,331,4,70.512,523082
0,1460.9,338,4,84.209,536212
0,1475.4,350,3,82.967,549590
0,1478.6,414,3,83.113,563698
0,1559,479,4,83.316,578661
0,1728.9,543,4,98.161,594927
0,1836.6,608,4,103.041,613697
0,1798.9,673,4,105.72,636540
0,1879.4,738,4,111.877,664610
0,1407.8,768,4,115.79,697550
0,1586.8,799,5,123.547,735140
0,1676.9,828,6,129.081,778708
0,1788.4,858,7,133.713,829846
0,1980.4,888,7,150.004,889157
0,1942.1,943,7,160.051,958423
0,2677.1,998,6,164.328,1035924
0,2968.1,1052,7,172.084,1114645
0,2809.8,1107,7,170.377,1185075
0,2907.5,1162,8,172.24,1240864
0,2846.8,1208,9,170.422,1278153
0,2701.9,1254,9,183.073,1299942
0,3100,1301,9,203.595,1315029
0,3081.8,1347,9,201.826,1336073
0,3247,1393,8,203.608,1371853
0,3137.3,1424,7,203.156,1425793
0,3259.1,1454,7,209.011,1494077
0,3261,1485,9,211.639,1569440
0,1408.2,6443,1646,73.698,103171957
0,1474.2,6451,1725,71.104,105599125
0,1538,6510,1755,77.568,107983708
0,1606.3,6518,1793,85.327,110350641
0,1753.8,6599,1858,90.538,112737684
0,2104.2,6672,1986,107.042,115169933
0,2149.3,6641,2039,112.07,117649927
0,2312.6,6699,1991,117.762,120160571
0,2319.8,6653,1995,125.404,122682818
0,2507.5,6844,2122,126.836,125189655
0,2652.5,6899,2138,135.987,127657862
0,3103.5,6902,2191,155.408,130088709
0,3198.1,7023,2240,160.379,132478076
0,3345.9,7108,2197,169.987,134791598
0,3594.5,7074,2207,175.833,136986429
0,3767.7,7239,2287,189.628,139035505
0,4168.9,7344,2405,205.461,140921154
0,4264.2,7396,2398,210.292,142660381
0,4530.1,7648,2610,222.488,144304164
0,4914.8,7740,2562,244.59,145924795
0,5399.2,7847,2608,250.409,147575433
0,5655.6,7917,2708,272.112,149273134
0,6069.1,7958,2650,291.317,151005733
0,6178.2,8010,2678,300.178,152761413
0,6597.9,8065,2766,312.463,154517385
0,7327.7,8092,2823,363.352,156256287
0,7647.7,8024,2728,369.482,157977151
0,8094.4,8260,2840,383.606,159685421
0,8260,8381,2927,406.985,161376713
0,107,207,6,5.502,260933
0,120.2,211,6,5.563,261911
0,97.3,215,6,5.876,262890
0,110.1,219,6,5.727,263869
0,73.9,222,6,5.431,264893
0,80.7,223,6,5.637,265955
0,82.3,224,6,5.061,267047
0,88.8,225,6,6.093,268183
0,109.9,226,6,6.189,269334
0,116.2,227,6,6.479,270455
0,115.2,228,6,6.965,271511
0,118.6,228,6,6.97,272494
0,120,227,5,7.016,273423
0,124.5,227,5,7.091,274331
0,127,227,6,7.144,275283
0,131.9,227,5,7.199,276320
0,134.3,227,5,7.216,277475
0,136.3,227,5,6.884,278701
0,161.2,228,5,8.118,279946
0,159.7,229,5,7.651,281107
0,146.4,230,5,7.373,282131
0,151.7,230,5,7.738,282987
0,145.9,231,5,7.273,283698
0,143.7,231,6,7.386,284294
0,126.1,232,5,6.423,284825
0,126.1,233,5,6.833,285327
0,128.3,233,5,6.989,285798
0,117,234,5,6.602,286229
0,123.6,235,5,7.031,286640
0,10375.8,2010,1753,444.569,10151135
0,9678,1967,1651,439.765,10160785
0,8885.9,1761,1308,416.068,10154338
0,7655.5,1676,1269,333.223,10135133
0,6250.5,1595,1204,277.681,10108280
0,5750.8,1513,1188,251.945,10077606
0,5837.7,1488,1191,258.33,10044854
0,5892,1465,1194,260.916,10009393
0,5739.6,1459,1187,255.326,9969986
0,5490.2,1443,1182,248.531,9924440
0,5470.6,1398,1165,255.399,9871635
0,5477,1374,1227,248.966,9811399
0,5458.3,1360,1127,256.377,9745932
0,5610.5,1367,1147,255.231,9679235
0,5980.1,1407,1166,287.478,9616628
0,6112.7,1379,1200,286.451,9562083
0,6393.4,1417,1249,304.27,9516884
0,6330.3,1457,1232,297.124,9480514
0,6543.9,1541,1282,300.627,9452855
0,6104.5,1548,1300,285.003,9433159
0,6277.5,1593,1288,302.611,9420576
0,6162.9,1561,1338,300.907,9415316
0,6267.4,1591,1326,325.141,9417045
0,6323.7,1659,1304,286.735,9423502
0,6260.9,1673,1268,296.307,9431742
0,5803.8,1699,1254,269.236,9439424
0,5985.1,1655,1175,267.803,9445638
0,6011.6,1672,1216,273.072,9450233
0,6096.2,1676,1204,297.111,9452615
0,12030.8,1323,816,618.635,10006545
0,12337.8,1332,812,640.153,10039450
0,12250.5,1314,777,638.74,10078098
0,12143.9,1295,800,628.53,10118684
0,12480.8,1298,853,661.316,10155909
0,12594.2,1311,890,669.454,10186304
0,12948,1298,941,711.118,10208265
0,12398.3,1278,910,718.26,10223785
0,13020.9,1253,919,732.408,10237298
0,12470.1,1260,912,726.944,10255161
0,12672,1212,776,740.151,10282046
0,12606.5,1160,750,733.765,10319026
0,12686.5,1107,801,730.283,10364879
0,12825,1040,724,758.455,10419029
0,12878.1,1027,733,761.282,10480118
0,12564.1,1000,709,752.476,10546885
0,12388.4,986,609,754.279,10619484
